Ticker,Name,Opening Price,Closing Price,Week 0,Week 1
BB,BlackBerry Limited,146.5,120.98,2008-06-27,2008-07-04
BB,BlackBerry Limited,103.26,70.76,2008-09-26,2008-10-03
BB,BlackBerry Limited,60.47,48.51,2009-02-13,2009-02-20
BB,BlackBerry Limited,83.37,68.91,2009-09-25,2009-10-02
BB,BlackBerry Limited,62.09,52.23,2010-06-25,2010-07-02
BB,BlackBerry Limited,36.7,27.75,2011-06-17,2011-06-24
BB,BlackBerry Limited,29.88,23.93,2011-09-16,2011-09-23
BB,BlackBerry Limited,16.31,13.44,2011-12-16,2011-12-23
BB,BlackBerry Limited,14.15,10.91,2012-12-21,2012-12-28
BB,BlackBerry Limited,17.82,13.025,2013-02-01,2013-02-08
BB,BlackBerry Limited,13.5,10.46,2013-06-28,2013-07-05
BB,BlackBerry Limited,10.33,8.725,2013-09-20,2013-09-27
BFZ,BlackRock California Municipal Income Trust,12.4,8.48,2008-10-10,2008-10-17
BFZ,BlackRock California Municipal Income Trust,12.64,10.62,2008-11-14,2008-11-21
BH,Biglari Holdings Inc.,390.5,320.1,2010-05-07,2010-05-14
BHP,BHP Billiton Limited,43.91,37.25,2008-10-10,2008-10-17
BIG,"Big Lots, Inc.",24.66,17.95,2008-11-07,2008-11-14
BIG,"Big Lots, Inc.",45.43,37.34,2012-04-27,2012-05-04
BIG,"Big Lots, Inc.",38.36,30.28,2012-08-24,2012-08-31
BIG,"Big Lots, Inc.",38.28,32.47,2013-12-06,2013-12-13
BIG,"Big Lots, Inc.",48.58,40,2014-12-05,2014-12-12
BIG,"Big Lots, Inc.",47.4,40.04,2015-12-04,2015-12-11
BIP,Brookfield Infrastructure Partners LP,15.83,10,2008-10-10,2008-10-17
BIP,Brookfield Infrastructure Partners LP,13.47,10.6,2008-11-21,2008-11-28
BIP,Brookfield Infrastructure Partners LP,11.54,9.15,2009-03-06,2009-03-13
BIP,Brookfield Infrastructure Partners LP,17.89,14.5,2009-10-30,2009-11-06
BIP,Brookfield Infrastructure Partners LP,47.31,32.74,2016-09-16,2016-09-23
BJZ,Blackrock California Municipal 2018 Term Trust,12.45,9.55,2008-10-10,2008-10-17
BKK,Blackrock Municipal 2020 Term Trust,12.37,9.1518,2008-10-10,2008-10-17
BKK,Blackrock Municipal 2020 Term Trust,11.59,9.75,2008-11-21,2008-11-28
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),10.93,8.3587,2008-10-10,2008-10-17
BLH,Blackrock New York Municipal 2018 Term Trust,15.5,12.85,2008-10-10,2008-10-17
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",18.88,14.91,2008-09-26,2008-10-03
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",14.78,11.99,2009-01-09,2009-01-16
BMA,Macro Bank Inc.,18.51,15.16,2008-10-10,2008-10-17
BMA,Macro Bank Inc.,50.35,42.49,2015-07-24,2015-07-31
BMA,Macro Bank Inc.,69.5,57.03,2015-11-27,2015-12-04
BME,Blackrock Health Sciences Trust,20.26,16.2916,2008-11-21,2008-11-28
BNJ,BlackRock New Jersey Municipal Income Trust,13.45,10.1,2008-10-10,2008-10-17
BOE,Blackrock Global,16.5,12.13,2008-10-10,2008-10-17
BOE,Blackrock Global,14.01,11.16,2008-11-21,2008-11-28
BOH,Bank of Hawaii Corporation,69.6,54.97,2008-09-26,2008-10-03
BOH,Bank of Hawaii Corporation,31.7,26.27,2009-03-06,2009-03-13
BPI,"Bridgepoint Education, Inc.",18.39,15.57,2009-09-04,2009-09-11
BPI,"Bridgepoint Education, Inc.",16.69,14.18,2009-10-30,2009-11-06
BPI,"Bridgepoint Education, Inc.",21.15,17.79,2010-06-25,2010-07-02
BPI,"Bridgepoint Education, Inc.",18.82,14.98,2010-08-06,2010-08-13
BPI,"Bridgepoint Education, Inc.",25.07,20.23,2011-08-05,2011-08-12
BPI,"Bridgepoint Education, Inc.",15.64,9.77,2012-07-13,2012-07-20
BPI,"Bridgepoint Education, Inc.",19.1,14.55,2014-03-14,2014-03-21
BPI,"Bridgepoint Education, Inc.",13.57,9.76,2017-07-28,2017-08-04
BPK,Blackrock Municipal 2018 Term Trust,14.57,10.6,2008-10-10,2008-10-17
BQH,Blackrock New York Municipal Bond Trust,11.85,8.27,2008-10-10,2008-10-17
BRFS,BRF S.A.,51.68,42.56,2008-01-18,2008-01-25
BRFS,BRF S.A.,30.79,24.98,2008-10-10,2008-10-17
BRFS,BRF S.A.,55.2,13.72,2010-04-09,2010-04-16
BRS,Bristow Group Inc,45.68,38.08,2008-08-08,2008-08-15
BRS,Bristow Group Inc,37.13,29.61,2008-10-03,2008-10-10
BRS,Bristow Group Inc,36.11,29.3,2015-09-11,2015-09-18
BRS,Bristow Group Inc,25.79,21.42,2016-01-08,2016-01-15
BRS,Bristow Group Inc,20.45,14.53,2016-05-13,2016-05-20
BRS,Bristow Group Inc,14.33,7.36,2017-05-26,2017-06-02
BSD,BlackRock Strategic Municipal Trust Inc. (The),10.02,7.17,2008-10-10,2008-10-17
BSX,Boston Scientific Corporation,10.82,7.31,2008-10-10,2008-10-17
BW,Babcock,19.12,14.77,2016-07-01,2016-07-08
BW,Babcock,16.66,10.49,2017-03-03,2017-03-10
BWA,BorgWarner Inc.,21.45,17.42,2008-11-14,2008-11-21
BWA,BorgWarner Inc.,22.86,18.89,2009-01-16,2009-01-23
BWA,BorgWarner Inc.,81.04,68.47,2011-08-05,2011-08-12
BWA,BorgWarner Inc.,108,55.02,2013-12-20,2013-12-27
BWA,BorgWarner Inc.,36.92,31.07,2016-01-15,2016-01-22
BX,The Blackstone Group L.P.,14.56,7.99,2008-10-10,2008-10-17
BX,The Blackstone Group L.P.,10.71,8.73,2009-07-10,2009-07-17
BX,The Blackstone Group L.P.,15.94,13.42,2009-10-30,2009-11-06
BX,The Blackstone Group L.P.,16.98,13.6,2011-08-05,2011-08-12
BXMX,Nuveen S&P 500 Buy-Write Income Fund,12.05,9.32,2008-10-10,2008-10-17
BXS,BancorpSouth Bank,25.92,20.02,2008-10-24,2008-10-31
BXS,BancorpSouth Bank,17.7,14,2010-07-23,2010-07-30
BYD,Boyd Gaming Corporation,14.72,12.4,2008-06-27,2008-07-04
BYD,Boyd Gaming Corporation,11.36,9.65,2008-09-26,2008-10-03
BYD,Boyd Gaming Corporation,11.94,9.48,2009-05-15,2009-05-22
BYD,Boyd Gaming Corporation,10.92,7.36,2009-10-30,2009-11-06
BYD,Boyd Gaming Corporation,13.83,10.32,2013-11-01,2013-11-08
BZH,"Beazer Homes USA, Inc.",11.71,9.92,2008-05-09,2008-05-16
CAF,Morgan Stanley China A Share Fund Inc.,54.25,46.09,2008-01-18,2008-01-25
CAF,Morgan Stanley China A Share Fund Inc.,27.01,21.79,2008-10-10,2008-10-17
CAF,Morgan Stanley China A Share Fund Inc.,27.82,19.91,2015-12-31,2016-01-07
CAJ,"Canon, Inc.",34.99,29.65,2008-11-14,2008-11-21
CB,Chubb Limited,51.5,40.75,2008-10-10,2008-10-17
CBD,Companhia Brasileira de Distribuicao,28.01,22.5,2008-10-10,2008-10-17
CBD,Companhia Brasileira de Distribuicao,15.51,13.11,2015-10-16,2015-10-23
CBD,Companhia Brasileira de Distribuicao,19.33,16.04,2016-11-11,2016-11-18
CCK,"Crown Holdings, Inc.",21.79,18.19,2008-10-24,2008-10-31
CCO,"Clear Channel Outdoor Holdings, Inc.",17.13,14.18,2008-07-11,2008-07-18
CCO,"Clear Channel Outdoor Holdings, Inc.",11.9,5.75,2008-10-10,2008-10-17
CCO,"Clear Channel Outdoor Holdings, Inc.",13.58,7.87,2012-03-16,2012-03-23
CDR,"Cedar Realty Trust, Inc.",11.73,9.52,2008-10-10,2008-10-17
CELP,"Cypress Energy Partners, L.P.",23.87,19.21,2014-10-10,2014-10-17
CELP,"Cypress Energy Partners, L.P.",16.24,12.81,2014-12-05,2014-12-12
CELP,"Cypress Energy Partners, L.P.",17,12.67,2015-04-02,2015-04-09
CELP,"Cypress Energy Partners, L.P.",12.69,10.58,2015-08-07,2015-08-14
CELP,"Cypress Energy Partners, L.P.",12,8.98,2017-03-17,2017-03-24
CEQP,Crestwood Equity Partners LP,19.86,13.78,2008-10-10,2008-10-17
CEQP,Crestwood Equity Partners LP,18.53,13.23,2008-11-21,2008-11-28
CEQP,Crestwood Equity Partners LP,22.55,17.33,2012-01-27,2012-02-03
CEQP,Crestwood Equity Partners LP,23.95,16.21,2013-06-21,2013-06-28
CEQP,Crestwood Equity Partners LP,19.5,14.04,2015-12-04,2015-12-11
CEQP,Crestwood Equity Partners LP,20.45,17.31,2016-01-08,2016-01-15
CFR,"Cullen/Frost Bankers, Inc.",54.81,46.4,2008-12-12,2008-12-19
CGI,"Celadon Group, Inc.",15.02,11.75,2008-09-26,2008-10-03
CGI,"Celadon Group, Inc.",10.16,7.35,2008-11-14,2008-11-21
CGI,"Celadon Group, Inc.",10.64,9,2011-09-23,2011-09-30
CGI,"Celadon Group, Inc.",12.32,10.42,2015-12-11,2015-12-18
CGI,"Celadon Group, Inc.",10.59,8.78,2016-06-24,2016-07-01
CHL,China Mobile (Hong Kong) Ltd.,45.25,36.5,2008-10-24,2008-10-31
CIM,Chimera Investment Corporation,10.84,9.18,2008-06-27,2008-07-04
CLDT,Chatham Lodging Trust (REIT),14.5,11.66,2011-08-12,2011-08-19
CLF,Cleveland-Cliffs Inc.,180.75,97.54,2008-05-16,2008-05-23
CLF,Cleveland-Cliffs Inc.,117,93.57,2008-07-03,2008-07-10
CLF,Cleveland-Cliffs Inc.,98.31,82.13,2008-09-05,2008-09-12
CLF,Cleveland-Cliffs Inc.,27,22.1,2009-01-16,2009-01-23
CLF,Cleveland-Cliffs Inc.,25.95,21.82,2009-02-20,2009-02-27
CLF,Cleveland-Cliffs Inc.,30,21.52,2009-05-15,2009-05-22
CLF,Cleveland-Cliffs Inc.,73.8,62.53,2010-04-30,2010-05-07
CLF,Cleveland-Cliffs Inc.,56.38,46.89,2010-07-02,2010-07-09
CLF,Cleveland-Cliffs Inc.,91.33,76.46,2011-08-05,2011-08-12
CLF,Cleveland-Cliffs Inc.,75.78,57.84,2011-09-23,2011-09-30
CLF,Cleveland-Cliffs Inc.,43.72,36.49,2012-10-26,2012-11-02
CLF,Cleveland-Cliffs Inc.,36.25,28.85,2013-02-15,2013-02-22
CLF,Cleveland-Cliffs Inc.,13.76,10.94,2014-09-26,2014-10-03
CLGX,"CoreLogic, Inc.",19.33,15.19,2008-11-21,2008-11-28
CLGX,"CoreLogic, Inc.",15.91,9.92,2011-08-05,2011-08-12
CLH,"Clean Harbors, Inc.",63.41,52.53,2008-10-10,2008-10-17
CLH,"Clean Harbors, Inc.",110.57,52.75,2011-07-29,2011-08-05
CLR,"Continental Resources, Inc.",27.35,23.06,2008-01-18,2008-01-25
CLR,"Continental Resources, Inc.",55.8,44.83,2008-08-08,2008-08-15
CLR,"Continental Resources, Inc.",40.01,29.13,2008-10-03,2008-10-10
CLR,"Continental Resources, Inc.",32.55,27.43,2009-06-19,2009-06-26
CLR,"Continental Resources, Inc.",69.9,54.2,2011-08-05,2011-08-12
CLR,"Continental Resources, Inc.",155.53,72.88,2014-09-12,2014-09-19
CLR,"Continental Resources, Inc.",56.46,40.98,2014-11-28,2014-12-05
CLR,"Continental Resources, Inc.",28.05,22.71,2015-12-18,2015-12-25
CM,Canadian Imperial Bank of Commerce,50.88,42.85,2008-10-10,2008-10-17
CMC,Commercial Metals Company,22.23,18.39,2008-09-26,2008-10-03
CMC,Commercial Metals Company,14.75,12.31,2011-08-05,2011-08-12
CMC,Commercial Metals Company,16.48,13.22,2012-01-13,2012-01-20
CMD,Cantel Medical Corp.,11.76,9.8,2008-07-03,2008-07-10
CMD,Cantel Medical Corp.,32.09,22.97,2012-02-03,2012-02-10
CMG,"Chipotle Mexican Grill, Inc.",155.48,127.01,2008-01-04,2008-01-11
CMG,"Chipotle Mexican Grill, Inc.",79.39,66.31,2008-07-25,2008-08-01
CMG,"Chipotle Mexican Grill, Inc.",72.99,56.7,2008-09-12,2008-09-19
CMG,"Chipotle Mexican Grill, Inc.",64.68,53.41,2009-01-09,2009-01-16
CMG,"Chipotle Mexican Grill, Inc.",390.44,316.98,2012-07-20,2012-07-27
CMG,"Chipotle Mexican Grill, Inc.",288.94,243,2012-10-19,2012-10-26
CMI,Cummins Inc.,128.1,59.18,2008-01-04,2008-01-11
CMI,Cummins Inc.,58,46.03,2008-09-26,2008-10-03
CMI,Cummins Inc.,108.6,92.26,2011-08-05,2011-08-12
CMP,"Compass Minerals International, Inc.",75.25,63.05,2008-08-08,2008-08-15
CMP,"Compass Minerals International, Inc.",60.99,51.36,2009-01-16,2009-01-23
CMP,"Compass Minerals International, Inc.",89.01,74.51,2013-08-02,2013-08-09
CMS,CMS Energy Corporation,11.72,9.09,2008-10-10,2008-10-17
CNC,Centene Corporation,21.3,16.98,2009-02-27,2009-03-06
CNC,Centene Corporation,118.4,59.85,2015-02-20,2015-02-27
CNC,Centene Corporation,74,62.9,2015-05-01,2015-05-08
CNC,Centene Corporation,63.03,50.68,2016-11-11,2016-11-18
CNS,Cohen & Steers Inc,29.64,24.85,2008-01-04,2008-01-11
CNS,Cohen & Steers Inc,25.42,20.85,2008-10-10,2008-10-17
CODI,Compass Diversified Holdings,13.85,10.84,2008-10-10,2008-10-17
CODI,Compass Diversified Holdings,10.66,8.78,2008-11-21,2008-11-28
COL,"Rockwell Collins, Inc.",42.71,36.23,2008-10-10,2008-10-17
CPA,"Copa Holdings, S.A.",43.25,35.4,2008-05-09,2008-05-16
CPA,"Copa Holdings, S.A.",27.73,22.94,2008-10-10,2008-10-17
CPA,"Copa Holdings, S.A.",26.49,21.51,2009-03-06,2009-03-13
CPA,"Copa Holdings, S.A.",76.56,62.01,2015-08-14,2015-08-21
CPA,"Copa Holdings, S.A.",47.75,40.52,2015-09-25,2015-10-02
CPA,"Copa Holdings, S.A.",64.15,53.56,2016-05-06,2016-05-13
CPG,Crescent Point Energy Corporation,23.23,18.44,2008-10-10,2008-10-17
CPG,Crescent Point Energy Corporation,21.25,14.85,2008-12-05,2008-12-12
CPG,Crescent Point Energy Corporation,32.83,26.19,2014-11-28,2014-12-05
CPG,Crescent Point Energy Corporation,12.51,10.15,2015-08-21,2015-08-28
CPG,Crescent Point Energy Corporation,11.63,9.74,2016-01-08,2016-01-15
CPT,Camden Property Trust,43.57,33.83,2008-10-17,2008-10-24
CRC,California Resources Corporation,12.25,10.23,2016-08-26,2016-09-02
CRC,California Resources Corporation,17.85,15.03,2017-03-10,2017-03-17
CRH,CRH PLC,28.33,22.98,2010-05-07,2010-05-14
CRK,"Comstock Resources, Inc.",86.74,69.1,2008-07-18,2008-07-25
CRK,"Comstock Resources, Inc.",52.37,40.56,2008-10-03,2008-10-10
CRK,"Comstock Resources, Inc.",42.39,35.28,2008-11-21,2008-11-28
CRK,"Comstock Resources, Inc.",42.16,35.39,2009-05-15,2009-05-22
CRK,"Comstock Resources, Inc.",32.29,25.82,2011-08-05,2011-08-12
CRK,"Comstock Resources, Inc.",19,15.92,2011-09-23,2011-09-30
CRK,"Comstock Resources, Inc.",18.79,15.74,2011-12-16,2011-12-23
CRK,"Comstock Resources, Inc.",17.85,14.67,2012-05-18,2012-05-25
CRK,"Comstock Resources, Inc.",16.72,13.74,2014-10-10,2014-10-17
CRK,"Comstock Resources, Inc.",12.02,8.86,2014-11-28,2014-12-05
CRK,"Comstock Resources, Inc.",11.35,9.63,2016-12-16,2016-12-23
CRK,"Comstock Resources, Inc.",11.97,10.1,2017-02-17,2017-02-24
CRY,"CryoLife, Inc.",11.74,9.61,2008-10-10,2008-10-17
CRY,"CryoLife, Inc.",12.03,9.99,2008-11-14,2008-11-21
CSS,"CSS Industries, Inc.",25.34,19.99,2008-10-17,2008-10-24
CSS,"CSS Industries, Inc.",20.43,16.47,2008-12-26,2009-01-02
CSS,"CSS Industries, Inc.",13.4,11.07,2009-03-06,2009-03-13
CTB,Cooper Tire & Rubber Company,17.3,14.56,2008-03-28,2008-04-04
CTB,Cooper Tire & Rubber Company,12,10.13,2008-08-22,2008-08-29
CTB,Cooper Tire & Rubber Company,17.15,11.96,2011-08-05,2011-08-12
CTL,"CenturyLink, Inc.",37.11,30.28,2008-10-10,2008-10-17
CTL,"CenturyLink, Inc.",41.29,33.02,2013-02-15,2013-02-22
CTL,"CenturyLink, Inc.",27.2,23.05,2016-11-04,2016-11-11
CUZ,Cousins Properties Incorporated,23.59,18.68,2008-10-17,2008-10-24
CUZ,Cousins Properties Incorporated,10.38,7.57,2016-10-07,2016-10-14
CVE,Cenovus Energy Inc,21.07,17.33,2014-12-12,2014-12-19
CVI,CVR Energy Inc.,14.07,10.24,2008-09-26,2008-10-03
CVI,CVR Energy Inc.,10.6,8.5,2009-11-06,2009-11-13
CVI,CVR Energy Inc.,28.33,22.95,2011-08-05,2011-08-12
CVI,CVR Energy Inc.,22.75,17.95,2011-11-18,2011-11-25
CVI,CVR Energy Inc.,24.15,20.08,2016-05-06,2016-05-13
DAN,Dana Incorporated,12.05,10,2010-05-21,2010-05-28
DAN,Dana Incorporated,11.25,9.49,2010-07-02,2010-07-09
DAN,Dana Incorporated,17.02,13.33,2011-08-05,2011-08-12
DAN,Dana Incorporated,12.36,10.5,2011-09-23,2011-09-30
DAN,Dana Incorporated,22.82,19.34,2013-11-01,2013-11-08
DCI,"Donaldson Company, Inc.",36.02,28.73,2008-11-14,2008-11-21
DCI,"Donaldson Company, Inc.",29.06,24.41,2009-02-27,2009-03-06
DCO,Ducommun Incorporated,36.07,29.47,2008-01-11,2008-01-18
DCO,Ducommun Incorporated,19.83,15.05,2008-10-10,2008-10-17
DCO,Ducommun Incorporated,19.21,15.63,2008-11-14,2008-11-21
DCO,Ducommun Incorporated,20.24,16.66,2011-08-12,2011-08-19
DCO,Ducommun Incorporated,12.13,10.26,2012-05-04,2012-05-11
DCO,Ducommun Incorporated,25.15,19,2013-05-10,2013-05-17
DCO,Ducommun Incorporated,30.45,25.07,2013-11-01,2013-11-08
DCO,Ducommun Incorporated,30.55,25.01,2015-05-15,2015-05-22
DCO,Ducommun Incorporated,21.02,16.13,2015-11-13,2015-11-20
DDD,3D Systems Corporation,15.75,8.64,2008-05-09,2008-05-16
DDD,3D Systems Corporation,14.67,11.55,2008-10-03,2008-10-10
DDD,3D Systems Corporation,15.72,13.07,2010-05-21,2010-05-28
DDD,3D Systems Corporation,52.77,44.66,2011-03-11,2011-03-18
DDD,3D Systems Corporation,53.26,41.72,2011-04-29,2011-05-06
DDD,3D Systems Corporation,26.52,21.41,2011-07-29,2011-08-05
DDD,3D Systems Corporation,46.19,38.04,2012-11-16,2012-11-23
DDD,3D Systems Corporation,69.21,58.54,2013-02-01,2013-02-08
DDD,3D Systems Corporation,10.45,8.69,2015-12-31,2016-01-07
DDD,3D Systems Corporation,17.7,13.16,2016-05-06,2016-05-13
DDD,3D Systems Corporation,17.6,14.26,2016-10-14,2016-10-21
DEI,"Douglas Emmett, Inc.",22.99,19.4,2008-10-03,2008-10-10
DFIN,"Donnelley Financial Solutions, Inc.",26.2,21.15,2017-03-03,2017-03-10
DHI,"D.R. Horton, Inc.",13.03,10.92,2008-01-04,2008-01-11
DHI,"D.R. Horton, Inc.",17.25,14.17,2008-02-08,2008-02-15
DHI,"D.R. Horton, Inc.",15.46,13.04,2008-05-23,2008-05-30
DHI,"D.R. Horton, Inc.",13.6,11.07,2008-10-03,2008-10-10
DHI,"D.R. Horton, Inc.",12.38,10,2009-05-08,2009-05-15
DIS,Walt Disney Company (The),28.84,23.04,2008-10-10,2008-10-17
DNOW,NOW Inc.,21.72,18.06,2016-11-04,2016-11-11
DNR,Denbury Resources Inc.,29.37,24.69,2008-01-18,2008-01-25
DNR,Denbury Resources Inc.,28.59,22.83,2008-08-08,2008-08-15
DNR,Denbury Resources Inc.,20.44,15.4,2008-10-03,2008-10-10
DNR,Denbury Resources Inc.,12.45,9.09,2008-11-14,2008-11-21
DNR,Denbury Resources Inc.,19.76,16.03,2011-08-05,2011-08-12
DNR,Denbury Resources Inc.,14.09,11.87,2011-09-23,2011-09-30
DNR,Denbury Resources Inc.,10.07,8.26,2014-11-28,2014-12-05
DOOR,Masonite International Corporation,40.45,30,2009-09-04,2009-09-11
DPS,"Dr Pepper Snapple Group, Inc",22.99,17.56,2008-11-14,2008-11-21
