,Ticker,Market Cap
142,TXT,15565508363
143,JBT,3617664150
144,CNS,2034509223
145,AOI,118366503
146,DAN,4832895059
147,MCB,355539859
148,GBAB,384900385
149,KORS,9991566779
150,TY,1555646182
151,GSL,69551680
152,EPE,633951872
153,NXC,94681609
154,VEC,359222127
155,LPG,419979196
156,HQH,990830867
157,HSY,23168065744
158,ROG,3063521061
159,BXC,116912140
160,WMB,27158624135
161,NPTN,291796792
162,UHT,930383023
163,CGG,240319806
164,APAM,3090806661
165,SPXX,290423370
167,SR,3317867187
168,VST,8226643664
169,NBB,559274053
170,NYV,33481971
171,ASG,161809260
172,LUB,86484474
173,SHW,39947274637
174,OLP,482140409
176,EOS,776301954
177,LII,9007275381
178,SSI,47795371
179,SIX,5697430864
180,CTX,2879844684
181,MBI,680992293
182,TMHC,3116242889
183,KEM,1097749168
184,WIA,348959267
185,NBD,161757863
186,PSA,33725707418
187,HCHC,266939314
188,CISN,1425017794
189,TOO,1189131109
190,HPE,25581863575
191,BNJ,112915162
192,SPH,1540870552
193,VAR,10061656199
194,HIX,598254761
195,DVD,73624920
196,NMR,22381982515
197,NZF,2130467331
198,NC,305340431
199,VR,5346985397
200,FBK,1337697697
201,ROP,28259128137
202,CAJ,42726060544
203,W,7961044078
204,ESRT,6104774342
205,CCO,1801725354
206,NSC,43342953586
207,CMS,12437241698
208,BY,665396020
209,SMLP,1647505751
210,WOW,935653823
211,GUT,309023302
212,TER,9370454762
213,XYL,13047939855
214,NUM,273871273
215,MRIN,58793290
216,BF.A,11142480960
217,IGA,213012362
218,BZH,694095240
219,SRE,26405165989
220,AAP,8722186015
221,SNV,6068963017
222,JPC,1029192188
223,FRT,9022654222
224,CMG,9316864590
225,KBR,3024318758
226,RBC,3508877038
227,LCII,3147475073
228,S,21281838613
229,RM,323638807
230,LZB,1502330530
231,LGF.B,4232351604
232,ELY,1370777351
233,LNC,18239432907
234,IRT,791756347
235,NS,3313429000
236,NWY,204343722
237,BME,332812566
238,MUS,172323565
239,IBA,3078000000
240,CLPR,181333846
241,CLGX,3999249252
242,OPP,199239407
243,MSL,248232435
244,NUS,3729771833
245,BB,7122161741
246,PEO,606709791
247,BTO,746368196
248,ST,9494960394
249,DDF,85415446
250,DFP,498008659
251,STZ.B,5113099079
252,NMI,96567924
253,CARS,2160228398
254,CXH,95928413
255,LXP,2223626051
256,BKU,4619986755
257,HTY,105928109
258,LH,17943268000
259,BIT,691581528
260,EEX,1594457940
261,PCN,659776712
262,RS,6643312436
263,LAD,3128007195
264,PBR,79897543696
265,JHS,171903595
266,TEX,4146971000
267,CLH,3143298425
268,ABC,22388303356
269,SHLX,5719850960
270,BSM,3731221967
271,BW,261211323
272,ROYT,100316211
273,CRY,666788646
274,LB,14689079811
275,PWR,6048035681
276,JEC,9922723731
278,FMX,34365285097
279,AMT,58892445794
280,TCF,3811741064
281,EPAM,5959900330
283,CB,69535811283
284,BTT,1553942785
285,UGP,13787718279
286,CM,43410801583
287,CSS,246108259
288,TPB,410705374
290,NHF,566867439
291,GOL,26899115602
292,PAH,3235584926
293,FDEU,342742650
294,MUSA,3069020430
296,AEP,33512049221
297,BSTI,3371676000
298,APU,4412956078
299,GME,1777892115
300,WHR,11975933454
301,CEQP,2003295524
302,DVA,14471535000
303,BLX,1188416127
304,Y,9285230600
305,CLDR,2591629954
306,MSP,68709748
307,PFN,610312291
308,MUH,165012780
309,NRE,693565770
310,RHT,22658320443
311,EQGP,7585702500
312,RELX,46011966549
313,PKO,384972773
314,CMC,2918126310
315,BPMP,2299285987
316,TMO,86342320269
317,NXR,189812898
320,AVP,1042794528
321,RMT,377178265
322,PAYC,5464393745
323,SEE,8833519462
325,DPS,17469191186
326,STWD,5486192317
327,MT,37664157834
328,ARA,594606606
330,EQM,6216882630
331,MUX,751623420
332,UE,2733894645
333,OOMA,196511082
334,TTI,485569660
335,DPZ,9459258222
336,RGA,10518471243
337,BRK.B,281752846976
338,AC,846147656
339,BKN,248851238
340,OAS,2464215506
341,UTX,107974639018
342,ATH,10414060704
343,MSGN,1689035381
344,CPA,5787805448
345,NEXA,2694407568
346,PPDF,2041170642
347,TWX,73187740120
348,AJG,11706735250
349,AMOV,60310050879
350,JELD,4298788752
351,RNP,941821373
352,AES,7515199121
353,AEO,3331616305
354,GD,62164956241
355,XNY,30931512
356,FUN,3727453845
357,OBE,579992136
358,CCS,948517495
359,FG,2081532700
360,HRC,5873207741
361,BRO,7283842019
362,SAIC,3312641269
363,ICD,197883792
364,FHY,88521870
365,CHL,212822169211
366,AKO.A,3509934145
367,ZX,68661250
368,FBC,2228936273
369,BX,41123738145
370,NVS,203832300000
372,SDR,53205750
373,CUZ,3830587307
374,MAV,268863975
375,USM,3050838569
376,WYN,12865692173
377,MCN,151257121
378,WWE,2580801078
379,CMP,2494778199
380,CDR,499502852
381,JHB,548659564
382,GBX,1501042008
383,EFT,575233047
384,OMN,466618651
385,CLDT,1045598662
386,BWA,11908158424
387,XON,1665543105
388,SLCA,3069617570
389,JBGS,3950383513
391,BLH,53460007
392,BRS,561956492
394,MQT,290772736
395,FT,176677215
396,YELP,3597418405
397,NAZ,165528120
398,WR,7221226024
399,CRC,991109825
400,RCI,20236868646
401,GPX,431339060
402,GLOG,1689613457
403,ABX,16922481165
404,BOH,3659535094
405,GMZ,447874602
406,SSP,1324326412
407,AZUL,3058292956
408,ELF,924271144
409,ESL,2249935642
410,TIME,1843005206
411,BAS,617647976
413,PKI,8950290381
414,HEQ,211628960
415,LEA,12853429263
416,BXS,3175091486
417,FRC,14431159674
419,CNC,19256699194
420,FMO,521204071
421,GMED,4218382160
422,MSB,382448292
423,TGI,1422402938
424,CODI,1012310000
425,TLK,30956942688
426,TDOC,2002530026
427,CRK,138076671
428,POL,3636997717
429,DNOW,1371255432
430,ATEN,480402346
432,JTA,200864048
433,CNDT,3523819055
434,UNH,236026067878
435,LND,210366477
437,FICO,4904000938
438,EPD,63535940483
439,SEAS,1292336899
440,MTT,255505184
441,ITUB,97936762634
442,RBA,3369343884
443,SSW,865168545
444,STN,3293603759
445,QSR,14931525921
446,PFD,158461636
447,PUK,71174710285
448,PHG,38233297410
449,SPG,51633910281
450,SSD,2808541648
451,IQV,21389472551
452,RPM,7066906828
453,HST,15401235276
454,BQH,39621486
455,TDC,4700850000
456,LFGR,188608824
457,NVRO,2379145022
458,DCI,6662958701
459,AXP,84456880000
460,RWT,1151323815
461,CGI,168381454
462,BSX,38051247776
463,STON,207247852
464,NTZ,97419008
465,FBP,1165365588
466,EDI,151406441
467,GNC,431527394
468,RFI,321466269
471,RHI,7201345723
472,MYJ,223113391
473,SUPV,2368919829
474,PHH,320265019
475,MO,136015760248
476,HMN,1783257202
477,BCH,17296649359
478,GWR,5089352310
479,DMB,235656996
480,AB,2570042292
481,GNW,1657207375
482,REVG,2046255646
483,GCV,82646665
484,SKX,6424395367
485,BG,11546722527
486,MPW,4763161526
487,HMC,64338106181
488,WPZ,42351508908
489,AQUA,2806699489
490,GHM,215985647
491,WAL,6303032220
493,ADX,1569469533
494,USAC,1177340087
495,BORN,38330250
496,ENBL,6730735580
497,AJX,251512216
498,ITW,59403238009
499,ERJ,4483296181
500,CWT,2107864646
501,APF,257859955
502,MX,440383928
503,HOG,9055963152
504,MIXT,266488977
505,TWTR,17321946122
506,ABR,517685049
507,RXN,2956669721
508,STAG,2422626821
509,KL,3307615781
510,ETY,1875524961
511,DHI,19691272344
512,EOI,589162657
514,VRS,584709377
515,XHR,2395020841
516,HCA,32877315150
517,SEMG,2309399790
518,MGU,315198447
519,BHP,131599927237
520,BYD,4216614645
521,JHA,290808613
522,IDT,274988553
523,NCR,4454226000
524,BSD,99732456
525,WCN,19123071077
526,CEIX,1043188086
527,HOV,377837868
528,MTL,1105198825
529,OI,3699895110
530,LCI,868980183
531,MUE,305531590
532,IRM,10156149086
533,VTR,19407368132
534,TNC,1275492604
535,LDP,745847105
536,XRF,359083651
537,AEL,3092518097
538,GVA,2666017383
539,STE,7812059542
541,ETB,421236387
542,ANTM,64318510511
543,MAN,8892574846
545,TTP,198825798
546,FUL,2762768819
547,EVHC,4368801066
549,DNR,997382490
550,SHI,6739200000
551,VC,4024188602
552,BPK,236552376
553,GRR,46073546
554,MVC,201191444
555,ALE,3680980135
556,CVI,3305658074
557,CELP,85250999
558,ARDC,375901429
559,KDMN,397148700
560,WBS,5804267320
561,PZC,231505606
562,ZAYO,8981840760
563,WSO,6252729797
565,AROC,727461709
566,DDD,1163672256
567,GRX,211557600
568,EBR,7926435826
569,AIN,2015720000
570,OC,10719178424
572,BJZ,94694172
573,IIPR,99526672
574,BIP,11797153346
575,FTAI,1496648515
576,CFR,6443409727
577,HCI,344715988
578,HCN,21973271021
579,AKR,2138684084
580,DCM,91206893779
581,RCL,27553247865
582,TREC,350280000
583,EXPR,590050167
584,LKSD,512571083
585,SCD,260038952
586,CTS,874478678
587,RLI,2636540287
588,WTM,3177125430
589,CRH,32062934615
590,WPP,24209995277
591,TIF,13655601701
592,EFR,528404808
593,GTT,1872915672
594,GPC,15266863338
595,DRH,2351583424
596,VG,2474223585
597,ENLC,3476356095
598,EDN,2668124271
599,SBOW,363293669
600,DST,4954448680
601,MFV,42505308
602,NCLH,13563903524
603,RLGY,3610416300
604,OGS,3609504716
605,WCG,9721281753
606,THR,781476348
607,DCO,320247790
608,CPT,7940406252
610,MDP,2968727510
611,HESM,1162113260
612,MET,56666315743
613,SNR,622688427
614,EFF,125353835
615,PCG,22603738096
616,KST,54042970
617,RYI,466967692
618,VALE,70389204096
619,PKD,188899508
620,HUN,8337881498
621,MTR,34942313
622,BXMX,1486007778
623,HMY,760197605
624,MNE,56369811
625,BHGE,40714945918
626,VLO,43298675275
627,ES,19253981694
628,EOG,67547570449
629,AHC,109853488
630,PTR,138528578097
631,JTD,264484048
632,NCV,632798744
633,BBL,118879625557
634,TEO,7654422560
635,BWG,278324682
636,MKC.V,12882379607
637,WTR,6341777443
638,APD,36892577222
639,OIS,1708937185
640,PRGO,13160156970
641,UNM,12588227612
642,PPG,29717698755
643,HEI.A,3162269408
644,LAZ,7068384426
645,SBH,2313021690
646,BCR,24144869301
647,PKX,28579058533
648,CURO,726796744
650,TS,21125706573
651,CABO,4188062192
652,BRT,190284484
653,PFSI,548450133
654,SU,61386025487
655,AET,61757469152
656,AGO,4123804638
657,IGR,904742233
658,TPR,13510667510
660,AXE,2660124143
661,BC,5108812817
662,TGH,1469344503
663,KAR,7365173968
664,RLH,270518971
665,RDC,2045300204
666,SJT,453037497
667,GEL,3031384061
668,XL,9213978842
669,EQS,32578732
670,HIG,19994082182
671,SB,377679354
672,STI,33265202881
673,WLK,14183744127
674,IMAX,1301574716
675,RF,22225053806
676,TRN,5541620149
677,EXD,95758806
678,AKP,115060285
680,HLS,4857536826
681,WPG,1294966204
682,WCC,3081003256
683,BDX,54303121758
684,BCX,1000970451
685,TGNA,3279736743
686,NXP,240269495
687,AA,9804525746
688,WNC,1341753459
689,PER,126000000
690,RSPP,6780119263
692,MTD,17160522709
693,CTL,18889288894
694,WAB,7919937960
695,GHC,3232240089
696,QHC,207533738
697,INXN,4221845130
698,ABG,1562368535
699,WGP,9175487939
700,TRI,30854640654
701,RESI,593806725
703,CTB,2058642267
704,TI.A,14881096808
705,BPI,234779092
707,EW,26348792628
708,DIS,167368261389
710,IDA,4229991610
711,COL,22497066343
712,FLS,5717894694
713,WTI,657409719
714,COTV,3222742338
715,NEWR,3236018423
716,CINR,539510394
717,RHP,3946718990
718,CLF,2487719093
719,EGF,87879785
720,SM,2956920528
721,CYS,1153274482
722,B,3572072279
723,TGP,1691500000
724,IVZ,15416063931
725,BH,853779436
726,TCO,3809112602
727,ELVT,321065211
728,NRP,425062209
729,HIL,293111915
732,IR,22448128992
733,PAA,16715609631
735,RNG,4165416293
736,CLR,21206807254
737,NMFC,1023367757
738,MNR,1349910553
739,REG,11020191440
740,CCM,131826536
741,VTN,265871328
742,JEMD,122555707
743,ATUS,16141810355
744,PAY,2067758438
745,ALB,12544571258
746,DEL,1139558305
747,EPR,4487836223
748,NBLX,2227164857
749,CVE,12766166308
750,AVAL,10093300764
751,BMA,7598666288
752,TLRA,243233103
753,MLI,2090816037
754,SAN,119730259578
755,JLL,7070357492
756,DOOR,2048498811
757,PCQ,321213532
758,USA,1277430047
759,LPI,2723415768
760,HTA,5693782468
761,BIG,2630830761
762,ASIX,1169936235
763,LMT,94335545549
764,DEX,198964819
765,FMY,59910495
767,NFJ,1283613407
768,AR,6116957792
769,MIC,5529643295
770,BOE,888962156
771,FLO,4087389755
772,BFZ,435155351
773,ORCL,209919217420
774,CMD,4652989658
775,NGG,39111183022
776,DEI,6596229112
777,DFIN,711744000
780,KOP,995782128
781,GNRC,3213853674
