Ticker,Opening Price,Closing Price,Date
MPO,1.0,0.81,2015-07-02
MPO,1.12,1.0,2015-06-19
MPO,1.05,0.85,2015-03-20
MPO,1.15,0.7651,2015-03-13
MPO,1.29,1.0,2015-02-13
MPO,1.55,1.26,2015-01-09
MPO,1.79,1.57,2014-12-26
MPO,1.83,1.07,2014-12-12
MPO,2.29,1.85,2014-12-05
MPO,3.12,2.29,2014-11-28
MPO,3.48,2.86,2014-10-17
MPO,4.69,3.46,2014-10-10
MPO,5.9,4.71,2014-10-03
MPO,5.99,4.67,2014-01-31
MPO,6.47,5.78,2013-10-25
MPO,5.7,4.7,2013-08-09
MPO,6.65,5.67,2013-04-19
MPO,8.5,7.11,2013-04-05
MPO,7.29,6.14,2012-10-26
MPO,8.94,7.86,2012-08-03
MPO,11.89,10.7,2012-06-22
MPO,13.86,11.98,2012-06-15
MPO,14.81,13.04,2012-06-01
MPO,16.17,14.46,2012-05-04
CLDT,27.11,23.52,2015-08-07
CLDT,11.82,10.42,2011-08-19
CLDT,14.5,11.66,2011-08-12
CLDT,20.0,17.65,2010-05-21
DAN,22.82,19.34,2013-11-01
DAN,14.04,12.37,2011-11-18
DAN,12.36,10.5,2011-09-23
DAN,13.96,11.39,2011-08-19
DAN,17.02,13.33,2011-08-05
DAN,12.67,11.1,2010-08-13
DAN,11.25,9.49,2010-07-02
DAN,12.05,10.0,2010-05-21
DAN,13.2,11.43,2010-05-07
DAN,11.55,10.2,2010-01-22
DAN,7.02,5.66,2009-10-30
DAN,6.9,6.05,2009-10-02
DAN,1.55,1.35,2009-06-26
DAN,1.78,1.53,2009-06-19
DAN,1.49,1.34,2009-05-22
DAN,2.01,1.45,2009-05-15
DAN,0.86,0.73,2009-04-24
DAN,0.36,0.23,2009-03-06
DAN,0.46,0.36,2009-02-27
DAN,0.683,0.44,2009-02-20
DAN,0.9,0.65,2009-02-13
DAN,0.7,0.61,2009-01-23
DAN,1.0,0.69,2009-01-16
DAN,0.86,0.7,2008-12-19
DAN,0.89,0.8,2008-12-12
DAN,1.03,0.51,2008-11-21
DAN,1.65,1.05,2008-11-14
DAN,2.24,1.6,2008-11-07
DAN,3.02,1.47,2008-10-24
DAN,3.56,3.03,2008-10-17
DAN,4.05,3.35,2008-10-10
DAN,5.34,4.15,2008-10-03
DAN,6.26,5.41,2008-09-26
DAN,7.06,5.45,2008-06-27
DAN,8.87,7.1,2008-06-20
DAN,10.1,8.87,2008-06-13
DAN,12.18,10.59,2008-05-23
DAN,9.8,8.78,2008-03-20
DAN,11.27,9.9,2008-03-14
DAN,12.75,11.455,2008-02-08
NVGS,11.0,8.9,2017-05-12
NVGS,8.4,7.3,2016-08-26
NVGS,13.87,12.3,2016-06-10
NVGS,19.07,16.51,2014-12-12
NVGS,26.06,22.67,2014-10-10
NVGS,27.5,24.37,2014-01-24
NVGS,60.0,20.06,2013-11-22
NVGS,29.0,25.5,2012-08-24
NVGS,18.0,14.85,2010-10-22
NVGS,17.0,15.0,2010-03-26
NVGS,14.58,12.75,2010-02-19
NVGS,37.25,12.0,2009-03-06
GHM,23.77,20.69,2015-01-30
GHM,24.14,21.12,2011-06-03
GHM,23.05,20.6,2011-05-06
GHM,15.66,14.01,2010-08-13
GHM,18.0,16.08,2010-05-07
GHM,18.27,15.88,2010-01-29
GHM,16.0,14.17,2009-10-30
GHM,12.63,11.02,2009-07-10
GHM,9.79,7.63,2009-02-20
GHM,11.54,9.97,2009-02-13
GHM,12.01,9.51,2009-01-16
GHM,9.07,7.57,2008-11-21
GHM,14.49,9.1,2008-11-14
GHM,20.99,13.6,2008-11-07
GHM,22.99,16.55,2008-10-24
GHM,37.28,19.7,2008-10-10
GHM,57.71,40.18,2008-10-03
GHM,70.0,58.86,2008-09-26
GHM,94.0,74.45,2008-09-05
GHM,67.0,56.6,2008-05-23
GHM,45.05,34.05,2008-02-01
GHM,44.2,38.8,2008-01-18
GHM,74.54,60.0,2007-12-14
GHM,63.86,54.14,2007-11-09
GHM,36.5,31.75,2007-08-10
GHM,17.3,12.99,2006-10-20
GHM,26.0,19.0201,2006-02-03
GHM,36.9,15.0,2005-10-07
GHM,11.62,10.4,2004-02-06
GHM,8.4,7.2,2002-10-11
GHM,10.6,7.55,2001-09-21
FMS,35.36,31.02,2013-07-05
FMS,69.75,34.82,2012-12-07
FMS,77.86,69.2,2011-08-05
FMS,54.43,48.86,2010-05-07
FMS,49.62,42.18,2008-10-10
FMS,13.39,9.8,2002-08-02
FMS,24.85,21.23,2001-11-02
GPRK,8.57,7.49,2017-06-16
GPRK,7.64,6.6,2017-04-21
GPRK,4.9,4.41,2016-12-09
GPRK,2.6165,2.32,2016-05-27
GPRK,3.17,2.82,2015-12-11
GPRK,3.2501,2.88,2015-10-30
GPRK,3.75,3.23,2015-09-25
GPRK,3.99,3.5,2015-08-21
GPRK,3.9,3.48,2015-08-07
GPRK,4.5,3.78,2015-01-30
GPRK,5.37,4.6,2015-01-09
GPRK,8.17,7.0601,2014-11-28
GPRK,9.1,8.07,2014-10-10
GPRK,9.52,6.45,2014-02-07
GPRK,9.18,8.25,2013-09-06
GPRK,10.18,8.75,2013-05-03
GPRK,11.25,8.5,2012-06-08
GPRK,10.32,8.75,2011-08-12
GPRK,12.25,10.8,2011-06-03
GPRK,13.5,12.0,2011-02-11
GE,20.26,18.21,2017-11-17
GE,23.44,20.79,2017-10-27
GE,18.39,16.51,2011-08-05
GE,18.97,16.88,2010-05-07
GE,14.38,12.86,2009-05-15
GE,8.28,7.06,2009-03-06
GE,9.58,8.51,2009-02-27
GE,11.2,9.38,2009-02-20
GE,13.95,12.03,2009-01-23
GE,15.965,13.96,2009-01-16
GE,15.95,14.03,2008-11-21
GE,19.34,16.02,2008-11-14
GE,20.26,17.83,2008-10-24
GE,22.27,19.63,2008-10-17
GE,25.12,21.57,2008-10-03
GE,37.86,32.05,2008-04-11
GE,35.5,31.3,2001-09-21
NOAH,47.63,40.4,2017-12-01
NOAH,25.62,22.32,2016-02-05
NOAH,32.23,27.32,2015-11-13
NOAH,33.37,28.5,2015-06-26
NOAH,25.0,19.67,2014-12-12
NOAH,16.26,14.24,2014-03-28
NOAH,15.0,13.18,2014-01-24
NOAH,17.34,15.07,2014-01-10
NOAH,25.08,20.38,2013-11-22
NOAH,21.4,17.93,2013-10-25
NOAH,15.95,12.2,2013-08-30
NOAH,12.53,9.93,2013-06-21
NOAH,7.57,6.68,2013-03-22
NOAH,5.92,5.3,2012-11-23
NOAH,6.26,4.96,2012-05-18
NOAH,8.511,7.61,2011-12-09
NOAH,8.82,7.46,2011-10-07
NOAH,12.8,9.36,2011-09-23
NOAH,13.45,11.19,2011-08-05
NOAH,12.07,10.24,2011-06-10
NOAH,13.48,12.12,2011-06-03
NOAH,14.78,12.82,2011-05-27
NOAH,16.28,13.63,2011-02-25
NOAH,19.27,17.15,2010-12-10
IBM,92.21,82.07,2008-10-24
IBM,101.21,87.75,2008-10-10
IBM,117.44,103.44,2008-10-03
IBM,115.11,100.2542,2007-11-09
IBM,87.35,76.7,2005-04-15
IBM,89.0,80.05,2003-06-06
IBM,72.0,63.92,2002-09-20
IBM,111.5,94.75,2000-10-20
IBM,124.75,105.0,2000-04-14
MAN,74.61,66.53,2016-06-24
MAN,69.77,61.6,2014-10-10
MAN,42.92,38.49,2011-11-11
MAN,41.99,36.03,2011-08-19
MAN,51.03,43.2,2011-08-05
MAN,56.52,49.1,2010-05-07
MAN,61.17,51.37,2009-10-23
MAN,27.09,24.19,2009-03-06
MAN,31.13,27.88,2009-02-27
MAN,30.27,26.96,2008-10-24
MAN,36.75,31.19,2008-10-10
MAN,43.23,37.92,2008-10-03
MAN,57.39,51.17,2008-01-04
MAN,91.15,79.81,2007-07-27
MAN,28.55,24.35,2001-09-21
MAN,38.44,32.75,2000-12-15
MAN,35.81,32.0,2000-09-08
MAN,36.56,32.0,2000-06-23
CAI,17.4,15.35,2017-02-24
CAI,9.23,7.53,2016-05-13
CAI,10.21,9.06,2016-05-06
CAI,5.84,4.86,2016-02-12
CAI,8.11,6.27,2016-01-15
CAI,9.87,8.04,2016-01-08
CAI,10.66,9.06,2015-12-11
CAI,11.45,10.13,2015-09-25
VMC,39.81,34.59,2012-05-18
VMC,32.5,28.88,2011-09-23
VMC,47.09,41.38,2009-05-15
VMC,51.22,45.26,2009-05-01
VMC,40.51,35.82,2009-03-06
VMC,45.57,40.45,2009-02-20
VMC,51.17,45.73,2009-02-13
VMC,69.75,61.19,2009-01-09
VMC,52.5,40.56,2008-11-21
VMC,54.93,48.48,2008-10-24
VMC,62.42,54.5,2008-10-10
VMC,77.33,64.4,2008-10-03
VMC,39.9,35.74,2002-07-19
VMC,46.89,38.15,2001-09-21
PBFX,20.05,17.7,2016-11-04
PBFX,22.9,20.0,2014-12-12
PBFX,26.92,24.19,2014-08-01
BYD,17.69,15.86,2016-02-05
BYD,10.63,9.07,2014-10-10
BYD,11.01,9.75,2014-08-01
BYD,10.84,9.75,2014-01-24
BYD,12.23,10.77,2014-01-17
BYD,13.83,10.32,2013-11-01
BYD,7.77,6.88,2013-02-15
BYD,6.57,5.66,2012-07-27
BYD,9.51,8.21,2012-02-24
BYD,7.8,6.95,2012-01-06
BYD,5.89,5.17,2011-09-23
BYD,6.38,5.35,2011-08-19
BYD,8.93,6.96,2011-08-05
BYD,8.98,7.78,2011-06-10
BYD,9.98,8.06,2010-07-02
BYD,9.74,8.76,2009-11-20
BYD,10.92,7.36,2009-10-30
BYD,12.39,10.73,2009-09-25
BYD,11.94,9.48,2009-05-15
BYD,4.1,3.1,2009-03-06
BYD,4.6,3.52,2009-02-20
BYD,5.42,4.7,2009-01-16
BYD,4.5,4.03,2008-12-12
BYD,4.16,3.29,2008-11-21
BYD,5.42,4.21,2008-11-14
BYD,7.2,5.21,2008-11-07
BYD,5.65,4.01,2008-10-24
BYD,6.91,5.22,2008-10-17
BYD,7.53,5.8,2008-10-10
BYD,9.37,8.04,2008-10-03
BYD,11.36,9.65,2008-09-26
BYD,13.64,11.89,2008-08-22
BYD,11.1,9.06,2008-07-11
BYD,14.72,12.4,2008-06-27
BYD,16.8,14.62,2008-06-20
BYD,18.21,15.53,2008-05-23
BYD,21.04,18.7,2008-04-11
BYD,21.245,18.66,2008-03-07
BYD,28.45,24.85,2008-01-18
BYD,34.23,30.16,2008-01-04
BYD,50.07,44.9,2007-07-27
BYD,17.91,15.36,2003-08-01
BYD,13.35,11.46,2003-02-07
BYD,13.5,11.75,2002-11-01
BYD,15.1,13.5,2002-10-25
BYD,15.32,13.69,2002-07-19
BYD,16.24,14.5,2002-05-10
BYD,4.9,4.38,2001-10-12
BYD,5.1,3.56,2001-09-21
BYD,5.75,5.15,2001-07-06
BYD,3.813,3.375,2000-12-22
BYD,5.938,4.813,2000-07-21
BYD,4.875,4.375,2000-04-14
BYD,6.0,5.375,2000-01-28
WFC,28.27,25.21,2011-08-05
WFC,10.96,8.61,2009-03-06
WFC,14.59,10.91,2009-02-20
WFC,19.16,15.76,2009-02-13
WFC,25.19,18.68,2009-01-16
WFC,29.74,25.14,2009-01-09
WFC,30.64,26.72,2008-12-12
WFC,28.19,21.76,2008-11-21
WFC,34.05,28.72,2008-11-07
WFC,33.3,28.31,2008-10-10
WFC,31.44,27.97,2008-04-11
WFC,28.38,25.48,2008-01-18
WFC,51.3,45.46,2002-11-08
WFC,43.75,38.31,2000-06-16
WFC,38.38,33.5,2000-02-18
EOS,13.91,12.32,2010-05-07
EOS,8.87,7.93,2009-03-06
EOS,11.19,9.3,2009-02-20
EOS,10.64,8.32,2008-11-21
EOS,12.54,10.89,2008-11-14
EOS,13.04,8.98,2008-10-10
TIF,65.99,59.1,2012-01-13
TIF,70.8,60.82,2011-09-30
TIF,68.64,57.36,2011-08-19
TIF,80.72,69.14,2011-08-05
TIF,48.84,43.55,2010-05-07
TIF,28.54,25.48,2009-05-15
TIF,22.68,20.18,2009-02-13
TIF,25.27,22.4,2009-01-09
TIF,23.63,20.31,2008-11-14
TIF,27.45,23.02,2008-11-07
TIF,27.89,22.68,2008-10-24
TIF,36.04,32.34,2008-10-03
TIF,41.55,35.8,2008-01-11
TIF,46.06,41.38,2008-01-04
TIF,48.9,43.92,2007-11-09
TIF,54.58,47.96,2007-07-27
TIF,31.2,27.7,2004-08-13
TIF,35.77,31.43,2004-08-06
TIF,30.7,27.16,2002-12-06
TIF,24.4,21.65,2002-08-02
TIF,27.05,23.43,2002-07-19
TIF,34.35,27.3,2002-07-12
TIF,31.15,27.75,2001-09-07
TIF,36.28,32.44,2001-06-15
TIF,33.05,28.69,2001-03-16
TIF,41.88,36.38,2000-11-10
TIF,75.5,36.44,2000-07-21
TIF,67.63,55.06,2000-05-26
TIF,76.94,63.56,2000-04-14
TIF,65.5,56.44,2000-02-18
VTR,56.32,48.43,2016-02-12
VTR,68.41,59.6,2015-08-21
