,Ticker,Opening Price,Closing Price,Date,Name
86,CMI,32.73,26.95,2008-10-24,Cummins Inc.
87,CMI,45.04,37.09,2008-10-03,Cummins Inc.
88,CMI,58.0,46.03,2008-09-26,Cummins Inc.
89,CMI,66.79,59.46,2008-09-05,Cummins Inc.
90,CMI,74.3,64.34,2008-06-27,Cummins Inc.
91,CMI,51.28,46.14,2008-03-07,Cummins Inc.
92,CMI,50.55,42.92,2008-01-18,Cummins Inc.
93,CMI,59.65,49.56,2008-01-11,Cummins Inc.
94,CMI,128.1,59.18,2008-01-04,Cummins Inc.
95,CMI,148.03,73.67,2007-04-13,Cummins Inc.
96,CMI,84.1,75.05,2005-01-07,Cummins Inc.
97,CMI,28.05,24.63,2002-09-20,Cummins Inc.
98,CMI,34.0,30.01,2001-09-21,Cummins Inc.
99,CMI,40.5,34.63,2000-02-25,Cummins Inc.
100,CMI,43.19,38.63,2000-01-28,Cummins Inc.
101,KMF,9.45,8.23,2016-02-12,"Kayne Anderson Midstream Energy Fund, Inc"
102,KMF,10.7,8.95,2016-01-15,"Kayne Anderson Midstream Energy Fund, Inc"
103,KMF,12.17,10.72,2016-01-08,"Kayne Anderson Midstream Energy Fund, Inc"
104,KMF,12.56,11.13,2015-12-11,"Kayne Anderson Midstream Energy Fund, Inc"
105,KMF,15.68,13.25,2015-12-04,"Kayne Anderson Midstream Energy Fund, Inc"
106,KMF,22.04,19.52,2015-10-23,"Kayne Anderson Midstream Energy Fund, Inc"
107,KMF,26.18,23.16,2015-08-07,"Kayne Anderson Midstream Energy Fund, Inc"
108,KMF,24.48,21.97,2011-08-05,"Kayne Anderson Midstream Energy Fund, Inc"
109,ACRE,16.12,13.08,2013-06-21,Ares Commercial Real Estate Corporation
110,MUR,35.77,30.34,2016-05-06,Murphy Oil Corporation
111,MUR,17.66,15.76,2016-02-19,Murphy Oil Corporation
112,MUR,19.23,16.79,2016-02-12,Murphy Oil Corporation
113,MUR,19.26,17.16,2016-01-15,Murphy Oil Corporation
114,MUR,22.34,19.31,2016-01-08,Murphy Oil Corporation
115,MUR,28.58,25.46,2015-12-04,Murphy Oil Corporation
116,MUR,37.3,33.33,2015-07-24,Murphy Oil Corporation
117,MUR,53.92,48.42,2014-11-28,Murphy Oil Corporation
118,MUR,50.69,44.86,2011-09-23,Murphy Oil Corporation
119,MUR,65.1,55.2,2011-08-05,Murphy Oil Corporation
120,MUR,77.93,68.64,2011-05-06,Murphy Oil Corporation
121,MUR,60.53,52.7,2010-05-07,Murphy Oil Corporation
122,MUR,46.78,41.6,2008-10-24,Murphy Oil Corporation
123,MUR,67.49,54.32,2008-10-03,Murphy Oil Corporation
124,MUR,91.62,79.5,2008-07-18,Murphy Oil Corporation
125,MUR,54.09,46.21,2006-02-10,Murphy Oil Corporation
126,MUR,99.88,89.2,2005-04-15,Murphy Oil Corporation
127,MUR,84.3,43.23,2003-01-03,Murphy Oil Corporation
128,MUR,78.0,69.8,2002-07-12,Murphy Oil Corporation
129,MUR,64.25,56.5,2000-10-27,Murphy Oil Corporation
130,SRF,7.6,6.49,2016-01-15,Cushing Energy Income Fund (The)
131,SRF,8.38,7.5,2016-01-08,Cushing Energy Income Fund (The)
132,SRF,8.42,7.35,2015-12-18,Cushing Energy Income Fund (The)
133,SRF,9.87,8.5799,2015-12-11,Cushing Energy Income Fund (The)
134,SRF,11.83,10.05,2015-12-04,Cushing Energy Income Fund (The)
135,SRF,13.02,11.6501,2015-11-20,Cushing Energy Income Fund (The)
136,SRF,7.7,6.51,2015-01-16,Cushing Energy Income Fund (The)
137,SRF,9.15,7.92,2014-12-26,Cushing Energy Income Fund (The)
138,SRF,10.8,9.33,2014-12-19,Cushing Energy Income Fund (The)
139,SRF,14.43,10.92,2014-12-05,Cushing Energy Income Fund (The)
140,SRF,17.92,15.83,2014-10-10,Cushing Energy Income Fund (The)
141,PNR,72.18,63.65,2014-08-01,Pentair plc.
142,PNR,37.35,33.53,2011-08-05,Pentair plc.
143,PNR,36.41,32.04,2010-05-07,Pentair plc.
144,PNR,20.23,17.95,2009-03-06,Pentair plc.
145,PNR,23.04,19.87,2008-11-21,Pentair plc.
146,PNR,26.65,23.28,2008-11-14,Pentair plc.
147,PNR,38.5,32.17,2008-10-03,Pentair plc.
148,PNR,31.14,27.78,2008-01-18,Pentair plc.
149,PNR,35.48,31.33,2005-10-28,Pentair plc.
150,PNR,45.27,40.17,2005-07-29,Pentair plc.
151,PNR,63.2,31.58,2004-06-10,Pentair plc.
152,PNR,35.35,28.89,2001-09-21,Pentair plc.
153,PNR,30.0,26.98,2001-03-16,Pentair plc.
154,PNR,29.5,24.81,2000-12-15,Pentair plc.
155,PNR,32.0,25.25,2000-09-15,Pentair plc.
156,PNR,35.56,29.44,2000-07-14,Pentair plc.
157,FHN,7.9,6.86,2011-08-12,First Horizon National Corporation
158,FHN,9.08,8.08,2011-08-05,First Horizon National Corporation
159,FHN,11.44,10.03,2010-10-15,First Horizon National Corporation
160,FHN,12.53,10.98,2010-07-02,First Horizon National Corporation
161,FHN,9.8,8.82,2009-01-16,First Horizon National Corporation
162,FHN,11.08,9.82,2009-01-09,First Horizon National Corporation
163,FHN,10.94,9.57,2008-12-12,First Horizon National Corporation
164,FHN,9.58,8.08,2008-11-21,First Horizon National Corporation
165,FHN,11.46,9.78,2008-11-14,First Horizon National Corporation
166,FHN,11.74,8.64,2008-10-24,First Horizon National Corporation
167,FHN,10.15,8.11,2008-10-10,First Horizon National Corporation
168,FHN,14.5,11.27,2008-09-26,First Horizon National Corporation
169,FHN,12.93,11.6,2008-09-12,First Horizon National Corporation
170,FHN,9.48,8.35,2008-06-13,First Horizon National Corporation
171,FHN,13.1,10.75,2008-04-25,First Horizon National Corporation
172,FHN,17.17,14.75,2008-03-28,First Horizon National Corporation
173,FHN,18.76,16.24,2008-02-29,First Horizon National Corporation
174,FHN,22.44,18.48,2008-02-08,First Horizon National Corporation
175,FHN,22.9,19.37,2007-12-14,First Horizon National Corporation
176,FHN,25.8,23.2,2007-11-02,First Horizon National Corporation
177,FHN,32.31,28.85,2007-08-03,First Horizon National Corporation
178,FHN,36.23,32.25,2007-07-27,First Horizon National Corporation
179,FHN,21.88,19.63,2000-09-22,First Horizon National Corporation
180,FHN,22.13,19.13,2000-06-09,First Horizon National Corporation
181,FHN,22.69,17.38,2000-03-03,First Horizon National Corporation
182,JDD,5.13,4.484,2009-03-06,Nuveen Diversified Dividend and Income Fund
183,JDD,5.96,5.31,2009-02-20,Nuveen Diversified Dividend and Income Fund
184,JDD,5.85,4.57,2008-11-21,Nuveen Diversified Dividend and Income Fund
185,JDD,6.98,6.07,2008-11-14,Nuveen Diversified Dividend and Income Fund
186,JDD,7.3,6.36,2008-10-24,Nuveen Diversified Dividend and Income Fund
187,JDD,8.68,6.02,2008-10-10,Nuveen Diversified Dividend and Income Fund
188,JDD,10.97,9.83,2008-09-26,Nuveen Diversified Dividend and Income Fund
189,NNC,11.98,10.6,2008-11-21,Nuveen North Carolina Quality Municipal Income Fd
190,NNC,11.2,9.87,2008-10-10,Nuveen North Carolina Quality Municipal Income Fd
191,ALDW,12.44,11.08,2017-08-11,"Alon USA Partners, LP"
192,ALDW,9.33,8.01,2016-10-28,"Alon USA Partners, LP"
193,ALDW,10.65,8.25,2016-09-16,"Alon USA Partners, LP"
194,ALDW,13.0,10.43,2016-02-19,"Alon USA Partners, LP"
195,ALDW,17.17,13.15,2016-02-12,"Alon USA Partners, LP"
196,ALDW,22.47,19.57,2016-01-15,"Alon USA Partners, LP"
197,ALDW,24.5,21.89,2015-12-11,"Alon USA Partners, LP"
198,ALDW,14.6,12.9,2015-01-16,"Alon USA Partners, LP"
199,ALDW,16.29,12.5,2014-12-12,"Alon USA Partners, LP"
200,ALDW,19.23,17.13,2014-11-14,"Alon USA Partners, LP"
201,ALDW,12.64,10.57,2013-11-08,"Alon USA Partners, LP"
202,ALDW,15.75,13.78,2013-10-25,"Alon USA Partners, LP"
203,ALDW,20.0,15.73,2013-08-16,"Alon USA Partners, LP"
204,ALDW,24.55,19.67,2013-07-05,"Alon USA Partners, LP"
205,ALDW,26.88,22.19,2013-04-05,"Alon USA Partners, LP"
206,DQ,69.56,61.0,2018-01-19,DAQO New Energy Corp.
207,DQ,52.9,47.17,2017-12-15,DAQO New Energy Corp.
208,DQ,57.56,49.41,2017-12-08,DAQO New Energy Corp.
209,DQ,21.9,18.77,2017-03-31,DAQO New Energy Corp.
210,DQ,25.1,22.1,2016-09-16,DAQO New Energy Corp.
211,DQ,22.84,20.0,2016-06-17,DAQO New Energy Corp.
212,DQ,15.98,14.21,2016-02-12,DAQO New Energy Corp.
213,DQ,15.37,12.9,2016-01-15,DAQO New Energy Corp.
214,DQ,16.34,12.76,2015-11-13,DAQO New Energy Corp.
215,DQ,17.21,14.7,2015-09-18,DAQO New Energy Corp.
216,DQ,16.36,12.21,2015-08-21,DAQO New Energy Corp.
217,DQ,20.5,18.28,2015-07-24,DAQO New Energy Corp.
218,DQ,25.98,22.72,2015-06-26,DAQO New Energy Corp.
219,DQ,27.19,23.49,2015-05-08,DAQO New Energy Corp.
220,DQ,27.39,23.57,2015-03-13,DAQO New Energy Corp.
221,DQ,23.8,20.49,2015-01-16,DAQO New Energy Corp.
222,DQ,29.98,24.7,2014-12-12,DAQO New Energy Corp.
223,DQ,34.24,30.0,2014-11-28,DAQO New Energy Corp.
224,DQ,43.95,36.45,2014-10-10,DAQO New Energy Corp.
225,DQ,28.71,25.77,2014-07-18,DAQO New Energy Corp.
226,DQ,37.72,22.91,2014-05-16,DAQO New Energy Corp.
227,DQ,41.89,36.84,2014-05-09,DAQO New Energy Corp.
228,DQ,45.99,41.03,2014-04-11,DAQO New Energy Corp.
229,DQ,45.98,39.0,2014-03-21,DAQO New Energy Corp.
230,DQ,53.63,44.97,2014-03-14,DAQO New Energy Corp.
231,DQ,43.62,38.73,2014-01-24,DAQO New Energy Corp.
232,DQ,38.62,34.19,2013-12-27,DAQO New Energy Corp.
233,DQ,37.0,31.65,2013-12-13,DAQO New Energy Corp.
234,DQ,43.82,38.26,2013-11-29,DAQO New Energy Corp.
235,DQ,40.72,33.27,2013-10-25,DAQO New Energy Corp.
236,DQ,10.9,8.83,2013-08-02,DAQO New Energy Corp.
237,DQ,10.66,8.59,2013-07-12,DAQO New Energy Corp.
238,DQ,8.0,7.18,2013-05-31,DAQO New Energy Corp.
239,DQ,6.17,4.14,2013-04-19,DAQO New Energy Corp.
240,DQ,6.71,5.03,2013-04-05,DAQO New Energy Corp.
241,DQ,9.55,8.48,2013-03-15,DAQO New Energy Corp.
242,DQ,10.92,9.4,2013-03-08,DAQO New Energy Corp.
243,DQ,13.33,11.91,2013-02-22,DAQO New Energy Corp.
244,DQ,13.16,11.49,2013-02-01,DAQO New Energy Corp.
245,DQ,0.85,0.74,2012-09-21,DAQO New Energy Corp.
246,DQ,1.1,0.96,2012-06-22,DAQO New Energy Corp.
247,DQ,1.23,1.08,2012-06-15,DAQO New Energy Corp.
248,DQ,1.5,1.26,2012-05-25,DAQO New Energy Corp.
249,DQ,1.8,1.55,2012-05-18,DAQO New Energy Corp.
250,DQ,2.01,1.78,2012-04-20,DAQO New Energy Corp.
251,DQ,2.49,2.11,2012-03-30,DAQO New Energy Corp.
252,DQ,2.78,2.42,2012-03-23,DAQO New Energy Corp.
253,DQ,3.28,2.75,2012-03-02,DAQO New Energy Corp.
254,DQ,1.96,1.59,2011-12-16,DAQO New Energy Corp.
255,DQ,2.29,1.88,2011-12-09,DAQO New Energy Corp.
256,DQ,2.85,2.0,2011-11-18,DAQO New Energy Corp.
257,DQ,3.24,2.83,2011-11-11,DAQO New Energy Corp.
258,DQ,3.61,3.24,2011-11-04,DAQO New Energy Corp.
259,DQ,4.8,3.75,2011-09-23,DAQO New Energy Corp.
260,DQ,5.3,4.74,2011-09-09,DAQO New Energy Corp.
261,DQ,6.1,5.39,2011-09-02,DAQO New Energy Corp.
262,DQ,6.66,5.14,2011-08-19,DAQO New Energy Corp.
263,DQ,9.25,7.89,2011-06-10,DAQO New Energy Corp.
264,DQ,11.15,9.28,2011-06-03,DAQO New Energy Corp.
265,DQ,13.1,11.25,2011-05-20,DAQO New Energy Corp.
266,DQ,12.91,11.41,2011-03-11,DAQO New Energy Corp.
267,DQ,14.21,11.52,2010-11-19,DAQO New Energy Corp.
268,HTGC,15.57,13.0,2017-05-05,"Hercules Capital, Inc."
269,HTGC,10.88,9.51,2010-05-07,"Hercules Capital, Inc."
270,HTGC,4.24,3.62,2009-03-06,"Hercules Capital, Inc."
271,HTGC,5.05,4.26,2009-02-20,"Hercules Capital, Inc."
272,HTGC,6.44,4.99,2009-02-13,"Hercules Capital, Inc."
273,HTGC,6.27,4.98,2008-11-21,"Hercules Capital, Inc."
274,HTGC,7.67,6.37,2008-11-14,"Hercules Capital, Inc."
275,HTGC,8.57,7.36,2008-11-07,"Hercules Capital, Inc."
276,HTGC,9.42,7.5,2008-10-10,"Hercules Capital, Inc."
277,HTGC,11.933,10.5,2005-11-11,"Hercules Capital, Inc."
278,HTGC,12.49,10.1,2005-10-14,"Hercules Capital, Inc."
279,EVT,16.24,14.19,2010-05-07,Eaton Vance Tax Advantaged Dividend Income Fund
280,EVT,7.87,7.07,2009-03-06,Eaton Vance Tax Advantaged Dividend Income Fund
281,EVT,10.23,8.66,2009-02-20,Eaton Vance Tax Advantaged Dividend Income Fund
282,EVT,10.98,8.6,2008-11-21,Eaton Vance Tax Advantaged Dividend Income Fund
283,EVT,12.85,11.21,2008-11-14,Eaton Vance Tax Advantaged Dividend Income Fund
284,EVT,12.88,11.19,2008-10-24,Eaton Vance Tax Advantaged Dividend Income Fund
285,EVT,14.67,10.98,2008-10-10,Eaton Vance Tax Advantaged Dividend Income Fund
286,FRA,16.28,13.75,2010-05-21,Blackrock Floating Rate Income Strategies Fund Inc
287,FRA,9.86,8.57,2008-11-21,Blackrock Floating Rate Income Strategies Fund Inc
288,FRA,11.05,9.8,2008-11-14,Blackrock Floating Rate Income Strategies Fund Inc
289,FRA,11.25,9.25,2008-10-10,Blackrock Floating Rate Income Strategies Fund Inc
290,TK,6.25,5.51,2017-06-16,Teekay Corporation
291,TK,7.71,6.46,2017-05-19,Teekay Corporation
292,TK,8.72,7.75,2017-05-05,Teekay Corporation
293,TK,7.02,6.22,2016-11-04,Teekay Corporation
294,TK,7.97,7.13,2016-10-28,Teekay Corporation
295,TK,8.41,7.44,2016-06-24,Teekay Corporation
296,TK,10.2,8.66,2016-06-10,Teekay Corporation
297,TK,11.12,9.84,2016-05-06,Teekay Corporation
298,TK,6.62,5.87,2016-02-12,Teekay Corporation
299,TK,7.85,6.18,2016-01-15,Teekay Corporation
300,TK,9.81,7.89,2016-01-08,Teekay Corporation
301,TK,19.99,8.8,2015-12-18,Teekay Corporation
302,TK,23.26,20.06,2015-12-11,Teekay Corporation
303,TK,27.74,23.95,2015-12-04,Teekay Corporation
304,TK,41.6,36.55,2015-07-24,Teekay Corporation
305,TK,50.52,45.42,2014-12-12,Teekay Corporation
306,TK,67.78,57.5,2014-10-10,Teekay Corporation
307,TK,29.26,26.16,2012-06-01,Teekay Corporation
308,TK,32.22,27.6,2012-05-18,Teekay Corporation
309,TK,28.06,24.39,2011-08-05,Teekay Corporation
310,TK,28.44,25.15,2010-07-02,Teekay Corporation
311,TK,25.2,21.4,2010-02-05,Teekay Corporation
312,TK,23.79,20.75,2009-10-30,Teekay Corporation
313,TK,16.74,14.2,2009-05-15,Teekay Corporation
314,TK,15.48,11.84,2009-03-06,Teekay Corporation
315,TK,20.74,17.99,2009-01-16,Teekay Corporation
316,TK,13.65,12.05,2008-11-21,Teekay Corporation
317,TK,17.24,13.86,2008-11-14,Teekay Corporation
318,TK,21.64,16.72,2008-11-07,Teekay Corporation
319,TK,20.12,17.2,2008-10-24,Teekay Corporation
320,TK,21.73,18.81,2008-10-10,Teekay Corporation
321,TK,27.71,22.77,2008-10-03,Teekay Corporation
322,TK,31.9,28.21,2008-09-26,Teekay Corporation
323,TK,41.86,36.5,2008-08-08,Teekay Corporation
324,TK,48.1,42.26,2008-01-18,Teekay Corporation
325,TK,39.3,35.2,2004-08-06,Teekay Corporation
326,TK,64.5,32.59,2004-05-21,Teekay Corporation
327,TK,34.74,29.16,2001-09-21,Teekay Corporation
328,TK,35.94,32.12,2000-12-15,Teekay Corporation
329,TK,37.56,33.0,2000-12-01,Teekay Corporation
330,TK,47.5,41.5,2000-10-06,Teekay Corporation
331,RAD,1.79,1.57,2017-10-27,Rite Aid Corporation
332,RAD,1.98,1.74,2017-10-13,Rite Aid Corporation
333,RAD,2.4,1.96,2017-09-29,Rite Aid Corporation
334,RAD,2.73,2.39,2017-09-22,Rite Aid Corporation
335,RAD,2.92,2.37,2017-07-07,Rite Aid Corporation
336,RAD,3.71,3.0,2017-06-09,Rite Aid Corporation
337,RAD,3.97,3.46,2017-05-19,Rite Aid Corporation
338,RAD,4.55,3.8,2017-04-21,Rite Aid Corporation
339,RAD,5.47,4.83,2017-03-10,Rite Aid Corporation
340,RAD,8.67,7.46,2017-01-20,Rite Aid Corporation
341,RAD,8.63,7.51,2015-09-18,Rite Aid Corporation
342,RAD,9.07,7.94,2015-08-21,Rite Aid Corporation
343,RAD,6.52,5.35,2014-09-19,Rite Aid Corporation
344,RAD,5.56,4.99,2013-12-20,Rite Aid Corporation
345,RAD,1.39,1.21,2012-05-18,Rite Aid Corporation
346,RAD,1.3,1.17,2011-11-18,Rite Aid Corporation
347,RAD,1.2,0.9801,2011-03-18,Rite Aid Corporation
348,RAD,1.28,1.13,2010-05-21,Rite Aid Corporation
349,RAD,1.47,1.29,2010-05-07,Rite Aid Corporation
350,RAD,1.7,1.49,2010-04-01,Rite Aid Corporation
351,RAD,1.59,1.31,2009-10-23,Rite Aid Corporation
352,RAD,1.59,1.41,2009-10-02,Rite Aid Corporation
353,RAD,2.08,1.57,2009-09-25,Rite Aid Corporation
354,RAD,1.5,1.29,2009-06-19,Rite Aid Corporation
355,RAD,1.82,1.54,2009-06-12,Rite Aid Corporation
356,RAD,0.26,0.22,2009-03-06,Rite Aid Corporation
357,RAD,0.29,0.23,2009-02-20,Rite Aid Corporation
358,RAD,0.316,0.28,2009-01-30,Rite Aid Corporation
359,RAD,0.39,0.31,2009-01-23,Rite Aid Corporation
360,RAD,0.4,0.33,2008-12-26,Rite Aid Corporation
361,RAD,0.44,0.35,2008-12-19,Rite Aid Corporation
362,RAD,0.51,0.4,2008-12-05,Rite Aid Corporation
363,RAD,0.37,0.31,2008-11-21,Rite Aid Corporation
364,RAD,0.47,0.35,2008-11-14,Rite Aid Corporation
365,RAD,0.5,0.43,2008-11-07,Rite Aid Corporation
366,RAD,0.77,0.491,2008-10-24,Rite Aid Corporation
367,RAD,0.85,0.55,2008-10-10,Rite Aid Corporation
368,RAD,1.04,0.91,2008-09-26,Rite Aid Corporation
369,RAD,1.14,0.99,2008-09-12,Rite Aid Corporation
370,RAD,1.24,1.11,2008-09-05,Rite Aid Corporation
371,RAD,1.38,1.03,2008-07-11,Rite Aid Corporation
372,RAD,1.54,1.35,2008-07-03,Rite Aid Corporation
373,RAD,1.95,1.48,2008-06-27,Rite Aid Corporation
374,RAD,2.44,2.1,2008-05-23,Rite Aid Corporation
375,RAD,3.0,2.53,2008-04-11,Rite Aid Corporation
376,RAD,3.21,2.65,2008-02-08,Rite Aid Corporation
377,RAD,2.86,2.15,2008-01-04,Rite Aid Corporation
378,RAD,4.03,2.98,2007-12-21,Rite Aid Corporation
379,RAD,3.69,3.31,2005-11-11,Rite Aid Corporation
380,RAD,4.32,3.7,2004-09-10,Rite Aid Corporation
381,RAD,2.73,2.45,2003-02-14,Rite Aid Corporation
382,RAD,2.29,2.02,2002-10-04,Rite Aid Corporation
383,RAD,2.68,2.24,2002-09-20,Rite Aid Corporation
384,RAD,2.89,2.35,2002-06-28,Rite Aid Corporation
385,RAD,3.07,2.55,2002-06-14,Rite Aid Corporation
386,RAD,3.92,3.52,2002-04-26,Rite Aid Corporation
387,RAD,2.93,2.42,2002-02-01,Rite Aid Corporation
388,RAD,3.0,2.15,2002-01-18,Rite Aid Corporation
389,RAD,4.7,3.01,2002-01-11,Rite Aid Corporation
390,RAD,5.25,4.69,2001-11-30,Rite Aid Corporation
391,RAD,6.67,5.8,2001-11-02,Rite Aid Corporation
392,RAD,7.65,5.61,2001-10-05,Rite Aid Corporation
393,RAD,7.7,6.45,2001-09-21,Rite Aid Corporation
394,RAD,8.53,7.62,2001-08-17,Rite Aid Corporation
395,RAD,6.69,5.97,2001-04-06,Rite Aid Corporation
396,RAD,6.21,5.56,2001-03-09,Rite Aid Corporation
397,RAD,2.5,2.125,2000-12-22,Rite Aid Corporation
398,RAD,2.94,2.44,2000-12-01,Rite Aid Corporation
399,RAD,3.5,2.875,2000-11-10,Rite Aid Corporation
400,RAD,3.25,2.875,2000-10-20,Rite Aid Corporation
401,RAD,4.0,3.19,2000-10-13,Rite Aid Corporation
402,RAD,3.81,3.25,2000-09-22,Rite Aid Corporation
403,RAD,4.875,4.19,2000-07-28,Rite Aid Corporation
404,RAD,7.875,5.31,2000-07-14,Rite Aid Corporation
405,RAD,7.563,6.75,2000-06-23,Rite Aid Corporation
406,RAD,7.688,6.81,2000-05-26,Rite Aid Corporation
407,RAD,6.188,5.56,2000-04-20,Rite Aid Corporation
408,RAD,8.312999999999999,7.125,2000-01-21,Rite Aid Corporation
